,country,age,gender,marital_status,education_level,heard_of_mobile_money
320,nigeria,29.0,2,2,11,2
321,nigeria,18.0,1,1,4,2
322,nigeria,20.0,2,1,5,2
323,nigeria,39.0,1,3,5,1
324,nigeria,40.0,2,1,8,1
325,nigeria,50.0,1,3,3,2
326,nigeria,28.0,2,3,3,2
327,nigeria,70.0,1,3,10,2
328,nigeria,66.0,2,3,3,2
329,nigeria,28.0,2,1,10,2
330,nigeria,20.0,1,1,5,2
331,nigeria,55.0,1,3,3,2
332,nigeria,32.0,2,1,5,2
333,nigeria,45.0,2,3,3,2
334,nigeria,40.0,1,1,5,2
335,nigeria,62.0,1,2,11,1
336,nigeria,30.0,2,1,11,2
337,nigeria,25.0,2,1,5,2
338,nigeria,25.0,1,1,5,2
339,nigeria,20.0,1,1,5,2
340,nigeria,18.0,1,1,5,2
341,nigeria,35.0,2,3,10,2
342,nigeria,15.0,1,1,4,2
343,nigeria,50.0,1,3,15,2
344,nigeria,20.0,2,1,5,2
345,nigeria,19.0,1,1,4,2
346,nigeria,25.0,1,1,4,2
347,nigeria,33.0,1,3,10,2
348,nigeria,28.0,1,1,4,2
349,nigeria,25.0,2,1,5,2
350,nigeria,29.0,1,1,5,1
351,nigeria,64.0,2,3,2,2
352,nigeria,40.0,1,3,3,2
353,nigeria,23.0,2,3,5,2
354,nigeria,35.0,2,1,7,1
355,nigeria,20.0,2,3,4,2
356,nigeria,50.0,2,1,3,2
357,nigeria,24.0,1,1,3,2
358,nigeria,25.0,1,1,5,2
359,nigeria,22.0,1,1,5,1
360,nigeria,30.0,2,1,4,2
361,nigeria,22.0,2,1,5,1
362,nigeria,36.0,1,1,11,1
363,nigeria,24.0,2,1,5,2
364,nigeria,24.0,1,1,5,2
365,nigeria,15.0,2,1,5,2
366,nigeria,52.0,1,2,4,2
367,nigeria,23.0,2,1,5,2
368,nigeria,15.0,1,1,4,2
369,nigeria,28.0,2,1,10,1
370,nigeria,19.0,2,1,5,2
371,nigeria,38.0,1,3,11,1
372,nigeria,25.0,2,1,5,2
373,nigeria,27.0,2,1,10,1
374,nigeria,25.0,2,1,9,1
375,nigeria,35.0,1,1,5,2
376,nigeria,53.0,1,3,5,2
377,nigeria,25.0,2,7,5,1
378,nigeria,35.0,2,7,4,2
379,nigeria,29.0,2,6,5,2
380,nigeria,23.0,2,1,5,1
381,nigeria,33.0,1,2,6,1
382,nigeria,27.0,1,1,7,2
383,nigeria,19.0,2,1,5,1
384,nigeria,19.0,2,1,6,2
385,nigeria,30.0,2,1,5,2
386,nigeria,22.0,1,1,6,2
387,nigeria,53.0,1,2,7,2
388,nigeria,41.0,1,5,2,2
389,nigeria,62.0,2,6,3,2
390,nigeria,31.0,2,1,8,1
391,nigeria,24.0,1,1,10,2
392,nigeria,22.0,1,1,6,2
393,nigeria,28.0,2,1,5,2
394,nigeria,33.0,1,2,5,2
395,nigeria,20.0,2,1,4,2
396,nigeria,18.0,2,1,5,2
397,nigeria,18.0,2,1,5,1
398,nigeria,35.0,1,1,3,2
399,nigeria,26.0,1,1,5,1
400,nigeria,34.0,2,2,5,2
401,nigeria,30.0,2,2,4,2
402,nigeria,48.0,1,3,9,1
403,nigeria,47.0,2,2,11,2
404,nigeria,33.0,2,2,5,2
405,nigeria,20.0,2,1,4,2
406,nigeria,20.0,2,1,5,2
407,nigeria,34.0,1,1,5,2
408,nigeria,55.0,1,7,3,2
409,nigeria,28.0,2,7,5,2
410,nigeria,27.0,1,1,12,2
411,nigeria,45.0,2,7,4,2
412,nigeria,24.0,2,7,4,2
413,nigeria,51.0,1,3,9,1
414,nigeria,21.0,2,1,6,2
415,nigeria,30.0,2,1,3,2
416,nigeria,52.0,2,2,5,2
417,nigeria,45.0,2,2,5,1
418,nigeria,27.0,1,1,11,1
419,nigeria,40.0,2,3,5,1
420,nigeria,20.0,2,1,5,2
421,nigeria,28.0,1,1,11,1
422,nigeria,19.0,1,1,5,2
423,nigeria,70.0,1,3,3,2
424,nigeria,24.0,2,1,6,2
425,nigeria,57.0,1,6,5,1
426,nigeria,31.0,2,1,10,2
427,nigeria,39.0,2,3,4,2
428,nigeria,43.0,1,1,6,2
429,nigeria,46.0,2,1,6,1
430,nigeria,30.0,2,3,5,2
431,nigeria,22.0,2,1,6,2
432,nigeria,40.0,2,2,10,1
433,nigeria,49.0,1,2,10,2
434,nigeria,29.0,2,1,7,2
435,nigeria,56.0,1,2,5,2
436,nigeria,48.0,1,7,6,2
437,nigeria,47.0,1,7,3,2
438,nigeria,29.0,1,1,5,2
439,nigeria,38.0,2,7,3,2
440,nigeria,42.0,2,6,3,2
441,nigeria,20.0,2,1,5,2
442,nigeria,30.0,2,7,5,2
443,nigeria,29.0,1,1,12,1
444,nigeria,55.0,2,3,4,2
445,nigeria,27.0,2,2,5,2
446,nigeria,59.0,1,4,5,2
447,nigeria,29.0,1,1,9,2
448,nigeria,20.0,1,1,5,1
449,nigeria,20.0,2,1,5,2
450,nigeria,19.0,1,1,5,1
451,nigeria,44.0,2,3,3,2
452,nigeria,19.0,2,1,5,2
453,nigeria,23.0,1,1,5,2
454,nigeria,28.0,1,1,5,2
455,nigeria,19.0,2,1,5,2
456,nigeria,60.0,2,6,7,2
457,nigeria,27.0,2,3,5,2
458,nigeria,37.0,1,1,5,1
459,nigeria,28.0,1,1,5,1
460,nigeria,27.0,2,3,11,2
461,nigeria,28.0,2,2,5,2
462,nigeria,19.0,1,1,5,2
463,nigeria,30.0,1,1,5,1
464,nigeria,40.0,2,2,5,2
465,nigeria,28.0,2,1,5,2
466,nigeria,28.0,2,3,4,2
467,nigeria,25.0,2,3,4,2
468,nigeria,32.0,2,1,5,1
469,nigeria,30.0,1,1,8,2
470,nigeria,57.0,1,7,4,2
471,nigeria,36.0,2,7,5,2
472,nigeria,27.0,1,1,4,2
473,nigeria,30.0,2,2,5,2
474,nigeria,35.0,2,2,5,2
475,nigeria,31.0,1,1,5,1
476,nigeria,35.0,1,2,5,2
477,nigeria,48.0,1,3,5,2
478,nigeria,42.0,2,3,4,1
479,nigeria,35.0,1,3,5,2
480,nigeria,32.0,1,2,8,2
481,nigeria,50.0,1,2,10,1
482,nigeria,49.0,1,2,5,2
