,country,age,gender,marital_status,education_level,funnel|exposure,funnel|enrollment,funnel|usage_basic,funnel|usage_sophisticated,funnel|usage,funnel|recent,funnel|longevity,funnel|frequent,funnel|retention
136,nigeria,25.0,1,1,5,True,False,False,False,False,False,False,False,False
137,nigeria,27.0,1,1,9,False,False,False,False,False,False,False,False,False
138,nigeria,19.0,1,1,4,True,False,False,False,False,False,False,False,False
139,nigeria,22.0,1,1,5,False,False,False,False,False,False,False,False,False
140,nigeria,32.0,2,3,5,False,False,False,False,False,False,False,False,False
141,nigeria,25.0,1,1,10,False,False,False,False,False,False,False,False,False
142,nigeria,26.0,1,1,10,False,False,False,False,False,False,False,False,False
143,nigeria,26.0,2,1,10,False,False,False,False,False,False,False,False,False
144,nigeria,32.0,1,3,5,False,False,False,False,False,False,False,False,False
145,nigeria,26.0,1,1,5,True,True,True,False,True,True,True,True,True
146,nigeria,30.0,1,1,3,False,False,False,False,False,False,False,False,False
147,nigeria,46.0,1,3,6,False,False,False,False,False,False,False,False,False
148,nigeria,26.0,1,3,9,False,False,False,False,False,False,False,False,False
149,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
150,nigeria,25.0,2,3,5,False,False,False,False,False,False,False,False,False
151,nigeria,24.0,1,1,5,False,False,False,False,False,False,False,False,False
152,nigeria,30.0,1,1,10,False,False,False,False,False,False,False,False,False
153,nigeria,26.0,1,1,7,False,False,False,False,False,False,False,False,False
154,nigeria,23.0,2,1,5,False,False,False,False,False,False,False,False,False
155,nigeria,19.0,1,1,5,False,False,False,False,False,False,False,False,False
156,nigeria,19.0,1,5,5,True,False,False,False,False,False,False,False,False
157,nigeria,27.0,1,1,11,True,False,False,False,False,False,False,False,False
158,nigeria,24.0,1,1,5,False,False,False,False,False,False,False,False,False
159,nigeria,20.0,2,1,5,False,False,False,False,False,False,False,False,False
160,nigeria,40.0,1,3,11,True,False,False,False,False,False,False,False,False
161,nigeria,28.0,1,1,11,True,True,False,False,False,True,False,True,False
162,nigeria,35.0,2,3,11,False,False,False,False,False,False,False,False,False
163,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
164,nigeria,18.0,2,1,5,False,False,False,False,False,False,False,False,False
165,nigeria,18.0,1,1,5,False,False,False,False,False,False,False,False,False
166,nigeria,32.0,2,3,11,False,False,False,False,False,False,False,False,False
167,nigeria,31.0,2,3,11,True,False,False,False,False,False,False,False,False
168,nigeria,29.0,2,1,11,False,False,False,False,False,False,False,False,False
169,nigeria,31.0,1,3,11,False,False,False,False,False,False,False,False,False
170,nigeria,22.0,1,1,5,False,False,False,False,False,False,False,False,False
171,nigeria,26.0,1,1,10,True,False,False,False,False,False,False,False,False
172,nigeria,23.0,2,1,9,True,False,False,False,False,False,False,False,False
173,nigeria,28.0,2,3,9,False,False,False,False,False,False,False,False,False
174,nigeria,27.0,1,1,5,False,False,False,False,False,False,False,False,False
175,nigeria,40.0,2,6,1,False,False,False,False,False,False,False,False,False
176,nigeria,19.0,1,1,5,False,False,False,False,False,False,False,False,False
177,nigeria,30.0,1,1,11,False,False,False,False,False,False,False,False,False
178,nigeria,25.0,1,1,4,False,False,False,False,False,False,False,False,False
179,nigeria,30.0,1,1,11,False,False,False,False,False,False,False,False,False
180,nigeria,23.0,1,1,11,False,False,False,False,False,False,False,False,False
181,nigeria,24.0,1,1,10,False,False,False,False,False,False,False,False,False
182,nigeria,28.0,2,1,10,False,False,False,False,False,False,False,False,False
183,nigeria,31.0,1,1,12,False,False,False,False,False,False,False,False,False
184,nigeria,28.0,1,1,10,False,False,False,False,False,False,False,False,False
185,nigeria,24.0,1,1,6,False,False,False,False,False,False,False,False,False
186,nigeria,41.0,2,3,5,False,False,False,False,False,False,False,False,False
187,nigeria,30.0,1,1,9,False,False,False,False,False,False,False,False,False
188,nigeria,27.0,1,1,9,False,False,False,False,False,False,False,False,False
189,nigeria,28.0,1,1,5,False,False,False,False,False,False,False,False,False
190,nigeria,27.0,1,1,8,True,False,False,False,False,False,False,False,False
191,nigeria,20.0,2,1,5,False,False,False,False,False,False,False,False,False
192,nigeria,38.0,1,1,8,True,False,False,False,False,False,False,False,False
193,nigeria,26.0,1,1,10,False,False,False,False,False,False,False,False,False
194,nigeria,26.0,2,3,7,False,False,False,False,False,False,False,False,False
195,nigeria,29.0,2,3,5,False,False,False,False,False,False,False,False,False
196,nigeria,23.0,1,1,5,False,False,False,False,False,False,False,False,False
197,nigeria,19.0,2,1,5,False,False,False,False,False,False,False,False,False
198,nigeria,20.0,2,1,4,False,False,False,False,False,False,False,False,False
199,nigeria,32.0,1,1,5,False,False,False,False,False,False,False,False,False
200,nigeria,22.0,1,1,6,False,False,False,False,False,False,False,False,False
201,nigeria,19.0,1,1,6,False,False,False,False,False,False,False,False,False
202,nigeria,23.0,1,1,5,False,False,False,False,False,False,False,False,False
203,nigeria,24.0,1,1,10,True,False,False,False,False,False,False,False,False
204,nigeria,25.0,2,1,11,False,False,False,False,False,False,False,False,False
205,nigeria,24.0,2,1,10,False,False,False,False,False,False,False,False,False
206,nigeria,30.0,1,1,9,True,False,False,False,False,False,False,False,False
207,nigeria,22.0,1,1,5,True,False,False,False,False,False,False,False,False
208,nigeria,26.0,2,1,11,True,False,False,False,False,False,False,False,False
209,nigeria,25.0,2,1,8,True,False,False,False,False,False,False,False,False
